impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K18-113813,A574914,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932301,LOST,Ginger,Dog,,Female,Toy Poodle,Unknown,11/15/2018 12:00:00 AM,Date Lost,N.E. 103RD / 5TH AVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932301,Image Copyright HLP Inc. 2018,,
K18-113829,A574930,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574930,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Gray / White,11/17/2018 12:00:00 AM,Received on,3200 S 137TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574930,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 3200 S 137TH ST, TUKWILA WA 98168<p/> Description: Gray / White Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113830,A574931,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574931,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Unaltered,Domestic Shorthair,Gray Tabby,11/17/2018 12:00:00 AM,Received on,3200 S 137TH ST,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574931,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 3200 S 137TH ST, TUKWILA WA 98168<p/> Description: Gray Tabby Unaltered Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113831,A574932,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574932,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,6 MONTHS,Male,Domestic Shorthair,Gray Tabby / White,11/17/2018 12:00:00 AM,Received on,32600 5TH AVE,BLACK DIAMOND,WA,98010,BLACK DIAMOND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574932,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 32600 5TH AVE, BLACK DIAMOND WA 98010<p/> Description: Gray Tabby / White Male Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113834,A549766,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A549766,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Anita,Cat,4 YEARS 4 MONTHS,Spayed Female,Domestic Longhair,Gray,11/17/2018 12:00:00 AM,Received on,19900 BALLINGER WAY NE,SHORELINE,WA,98155,SHORELINE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A549766,Image Copyright HLP Inc. 2018,"Received on: 2018-11-17<p/> Found Near: 19900 BALLINGER WAY NE, SHORELINE WA 98155<p/> Description: Gray Spayed Female Domestic Longhair Cat<p/> Age: 4 YEARS 4 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113569,A574249,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574249,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Sailor,Cat,6 MONTHS,Spayed Female,Domestic Shorthair,Tortie,11/06/2018 12:00:00 AM,Received on,3800 S 243RD ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574249,Image Copyright HLP Inc. 2018,"Received on: 2018-11-06<p/> Found Near: 3800 S 243RD ST, KENT WA 98032<p/> Description: Tortie Spayed Female Domestic Shorthair Cat<p/> Age: 6 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-112236,A569060,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A569060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scooby,Dog,8 YEARS 2 MONTHS,Neutered Male,Pit Bull,Fawn / White,09/18/2018 12:00:00 AM,Received on,16400 SE 392ND ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A569060,Image Copyright HLP Inc. 2018,"Received on: 2018-09-18<p/> Found Near: 16400 SE 392ND ST, AUBURN WA 98092<p/> Description: Fawn / White Neutered Male Pit Bull Dog<p/> Age: 8 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",RED
K18-112236,A569060,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A569060,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Scooby,Dog,8 YEARS 2 MONTHS,Neutered Male,Pit Bull,Fawn / White,09/18/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A569060,Image Copyright HLP Inc. 2018,"Received on: 2018-09-18<p/> Description: Fawn / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 8 YEARS 2 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Scooby and I am available for adoption.<p/><p/>I was brought in by a good samaritan on September 18, 2018.<p/><p/>I'm a really cool dude with a big personality!  I LOVE LOVE LOVE Tennis Balls! They are the best part about life!  Food's pretty awesome too! I'm pretty friendly with everyone I meet, but I may do better with older kids because I am still working on my manners. I can easily be walked on leash near other dogs but I don't tend to be face to face meeting them. I'd prefer to be the only animal in the household so I can get all of your attention!<p/><p/>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/> Adoption Fee: $100.00<p/>",RED
K18-113736,A574714,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574714,Off Site Vet,Tiny,Dog,3 YEARS,Male,Labrador Retriever,Chocolate,11/13/2018 12:00:00 AM,Received on,16100 SE 352ND ST,AUBURN,WA,98092,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574714,Image Copyright HLP Inc. 2018,"Received on: 2018-11-13<p/> Found Near: 16100 SE 352ND ST, AUBURN WA 98092<p/> Description: Chocolate Male Labrador Retriever Dog<p/> Age: 3 YEARS<p/> Current Location: Off Site Vet<p/>",
K18-113656,A574511,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A574511,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cleo,Dog,5 YEARS,Spayed Female,Pit Bull / Boxer,Tan / White,11/09/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574511,Image Copyright HLP Inc. 2018,"Received on: 2018-11-09<p/> Description: Tan / White<p/>  Spayed Female Pit Bull / Boxer Dog<p/> Age: 5 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cleo and I am available for adoption.<p/><p/>I was brought in by my previous owner on November 9th, 2018, because I did not get along with the other dog in the home. I lived in a home with a large dog and a 15 year old child. My previous owner described me as very affectionate, fearful and shy.<p/><p/>I am a shy gal who just needs to go to a home that will understand that I am scared of the world. I need to go to a home that has no other pets as I tend to like humans way more than dogs. I would also need a family that will understand that taking some time to get to know me and help me learn that the world is not a scary place and that I can be a confident dog, would be wonderful! I would also prefer a home that only has children that are dog savvy  and teenager +. Once you do get to know me you will get a sweet girl that just wants to snuggle + sleep in bed with you, binge watch netflix, snuggle up with you and a good book, and be your best friend! <p/><p/>My personality color is BLUE. I am a gentle and loving dog who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might take some time to warm up. Once I get to know you, I will be a very devoted friend!<p/><p/> Adoption Fee: $100.00<p/>",BLUE
K18-113680,A547913,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A547913,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flower,Dog,4 YEARS 9 MONTHS,Spayed Female,Pit Bull,Black,11/10/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547913,Image Copyright HLP Inc. 2018,"Received on: 2018-11-10<p/> Description: Black<p/>  Spayed Female Pit Bull Dog<p/> Age: 4 YEARS 9 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Flower and I am available for adoption.<p/><p/>I was brought in by my previous owner on 11/10/18 because they could no longer care me.<p/><p/>My personality color is RED. I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/><p/>I am a dog with a huge personality and I have a lot of favorite activities. One of my favorite things to do is go on walks and explore! I also love to play fetch and will bark at you to throw my toy so I really want a big yard, though I am not always as excited about bringing it back so playing with two toys at once is the best option for me!<p/><p/>I am full of energy and I love to play! I tend to calm down more when the people around me stay calm. I do best when I have lots of exercise and something to keep my mind busy.<p/><p/>My caregivers have noticed that I seem to be interested in other dogs but may be too intrusive and pushy for some. I would do best meeting any new friends before going home. When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>I would do best in a home with older kids or adults only. <p/><p/> Adoption Fee: $100.00<p/>",
K18-113825,A574925,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932486,LOST,Love,Dog,,Female,Labrador Retriever,Unknown,11/16/2018 12:00:00 AM,Date Lost,MAPLE VALLEY HIGHWAY & MAPLE VALLEY HWY,RENTON,WA,98057,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932486,Image Copyright HLP Inc. 2018,,
K18-113839,A570484,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A570484,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ranger,Dog,2 YEARS 1 MONTH,Neutered Male,Pomeranian / Mix,Red / Tan,11/18/2018 12:00:00 AM,Received on,14200 NE 8TH ST,BELLEVUE,WA,98007,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570484,Image Copyright HLP Inc. 2018,"Received on: 2018-11-18<p/> Found Near: 14200 NE 8TH ST, BELLEVUE WA 98007<p/> Description: Red / Tan Neutered Male Pomeranian / Mix Dog<p/> Age: 2 YEARS 1 MONTH<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113840,A574939,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Joker,Dead Dog,3 YEARS,Male,Pit Bull,Blu Brindl,11/18/2018 12:00:00 AM,Received on,10400 17TH AVE SW,SEATTLE,WA,98146,KING COUNTY,,,,Image Copyright HLP Inc. 2018,"Received on: 2018-11-18<p/> Found Near: 10400 17TH AVE SW, SEATTLE WA 98146<p/> Description: Blu Brindl Male Pit Bull Dog<p/> Age: 3 YEARS<p/>",
K18-113843,A543383,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,Reese,Dead Dog,NO AGE,Neutered Male,Beagle / Pug,Fawn / White,11/18/2018 12:00:00 AM,Received on,14200 28TH AVE S,SEATAC,WA,98168,SEATAC,,,,Image Copyright HLP Inc. 2018,"Received on: 2018-11-18<p/> Found Near: 14200 28TH AVE S, SEATAC WA 98168<p/> Description: Fawn / White Neutered Male Beagle / Pug Dog<p/> Age: NO AGE<p/>",
K18-113838,A574942,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932867,LOST,Kif(parrot),Bird,,,Domestic,Unknown,11/11/2018 12:00:00 AM,Date Lost,ROSEBERG AVE S,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932867,Image Copyright HLP Inc. 2018,,
K18-113495,A573905,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A573905,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Carolyn,Cat,7 WEEKS,Female,Domestic Shorthair,Brn Tabby / White,11/04/2018 12:00:00 AM,Received on,9900 3RD LN SW,SEATTLE,WA,98106,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A573905,Image Copyright HLP Inc. 2018,"Received on: 2018-11-04<p/> Found Near: 9900 3RD LN SW, SEATTLE WA 98106<p/> Description: Brn Tabby / White Female Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113564,A574237,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574237,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Narwhal,Cat,15 WEEKS,Male,Domestic Shorthair,Buff,11/06/2018 12:00:00 AM,Received on,6700 81ST AVE SE,MERCER ISLAND,WA,98040,MERCER ISLAND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574237,Image Copyright HLP Inc. 2018,"Received on: 2018-11-06<p/> Found Near: 6700 81ST AVE SE, MERCER ISLAND WA 98040<p/> Description: Buff Male Domestic Shorthair Cat<p/> Age: 15 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113848,A574950,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932938,LOST,Martini,Cat,,Male,Siamese,Unknown,11/17/2018 12:00:00 AM,Date Lost,130TH LN SE  SE 39TH OR 129TH PL SE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932938,Image Copyright HLP Inc. 2018,,
K15-081328,A467465,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Petal,Cat,13 YEARS 5 MONTHS,Spayed Female,Domestic Longhair,Black / White,06/19/2015 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,MAPLE VALLEY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A467465,Image Copyright HLP Inc. 2018,Received on: 2015-06-19<p/> Description: Black / White Spayed Female Domestic Longhair Cat<p/> Age: 13 YEARS 5 MONTHS<p/> Current Location: In RASKC Foster Home <p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>,
K18-113496,A573906,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A573906,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Barnabas,Cat,7 WEEKS,Male,Domestic Shorthair,Brn Tabby,11/04/2018 12:00:00 AM,Received on,9900 3RD LN SW,SEATTLE,WA,98106,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A573906,Image Copyright HLP Inc. 2018,"Received on: 2018-11-04<p/> Found Near: 9900 3RD LN SW, SEATTLE WA 98106<p/> Description: Brn Tabby Male Domestic Shorthair Cat<p/> Age: 7 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113845,A574947,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574947,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Male,Manx,Black / White,11/18/2018 12:00:00 AM,Received on,3000 S 216TH ST,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574947,Image Copyright HLP Inc. 2018,"Received on: 2018-11-18<p/> Found Near: 3000 S 216TH ST, SEATAC WA 98198<p/> Description: Black / White Male Manx Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113850,A574952,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1932959,LOST,Kiwi,Bird,,,Domestic,Unknown,11/18/2018 12:00:00 AM,Date Lost,18100 NE 95TH ST,REDMOND,WA,98052,REDMOND,47.68579,-122.0998,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1932959,Image Copyright HLP Inc. 2018,,
K18-113857,A575017,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Male,Domestic Shorthair,Black / White,11/19/2018 12:00:00 AM,Received on,16700 10TH AVE NE,SHORELINE,WA,98155,SHORELINE,,,,Image Copyright HLP Inc. 2018,"Received on: 2018-11-19<p/> Found Near: 16700 10TH AVE NE, SHORELINE WA 98155<p/> Description: Black / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/>",
K18-113863,A575024,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1933296,LOST,Stanley,Cat,,Male,Domestic Shorthair,Unknown,11/16/2018 12:00:00 AM,Date Lost,APT,SUITE BLDG. (OPTI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1933296,Image Copyright HLP Inc. 2018,,
K18-113862,A575022,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A575022,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,4 YEARS,Unaltered,Domestic Shorthair,Brn Tabby,11/19/2018 12:00:00 AM,Received on,3000 S 216TH ST,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A575022,Image Copyright HLP Inc. 2018,"Received on: 2018-11-19<p/> Found Near: 3000 S 216TH ST, SEATAC WA 98198<p/> Description: Brn Tabby Unaltered Domestic Shorthair Cat<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K18-113855,A575016,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1933125,LOST,Jasper,Cat,,Male,Siamese,Unknown,11/16/2018 12:00:00 AM,Date Lost,NE 8TH ST,MARTINE APART,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1933125,Image Copyright HLP Inc. 2018,,
K18-113753,A574780,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574780,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Esperanza,Cat,3 YEARS,Spayed Female,Domestic Shorthair,Black,11/14/2018 12:00:00 AM,Received on,11000 NE 10TH ST,BELLEVUE,WA,98004,BELLEVUE,47.61978,-122.1922,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574780,Image Copyright HLP Inc. 2018,"Received on: 2018-11-14<p/> Found Near: 11000 NE 10TH ST, BELLEVUE WA 98004<p/> Description: Black Spayed Female Domestic Shorthair Cat<p/> Age: 3 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",GREEN
K18-113752,A574781,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A574781,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Veronica,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Black / White,11/14/2018 12:00:00 AM,Received on,11000 NE 10TH ST,BELLEVUE,WA,98004,BELLEVUE,47.61978,-122.1922,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574781,Image Copyright HLP Inc. 2018,"Received on: 2018-11-14<p/> Found Near: 11000 NE 10TH ST, BELLEVUE WA 98004<p/> Description: Black / White Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K18-113749,A574775,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Shotzy,Dog,6 MONTHS,Spayed Female,Miniature Schnauzer,Black / White,11/14/2018 12:00:00 AM,Received on,14000 SE 177TH ST,RENTON,WA,98058,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574775,Image Copyright HLP Inc. 2018,"Received on: 2018-11-14<p/> Found Near: 14000 SE 177TH ST, RENTON WA 98058<p/> Description: Black / White Spayed Female Miniature Schnauzer Dog<p/> Age: 6 MONTHS<p/> Current Location: In RASKC Foster Home <p/>",GREEN
K18-112502,A570066,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Ford,Cat,12 WEEKS,Neutered Male,Domestic Mediumhair,Black,09/28/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570066,Image Copyright HLP Inc. 2018,Received on: 2018-09-28<p/> Description: Black Neutered Male Domestic Mediumhair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>,
K18-112507,A570071,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Grant,Cat,12 WEEKS,Neutered Male,Domestic Longhair,Black,09/28/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570071,Image Copyright HLP Inc. 2018,Received on: 2018-09-28<p/> Description: Black Neutered Male Domestic Longhair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/><p/>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p/>,
K18-110764,A449513,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lily,Cat,12 YEARS 7 MONTHS,Spayed Female,Domestic Longhair,Org Tabby,07/28/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,AUBURN,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A449513,Image Copyright HLP Inc. 2018,"Received on: 2018-07-28<p/> Description: Org Tabby Spayed Female Domestic Longhair Cat<p/> Age: 12 YEARS 7 MONTHS<p/> Current Location: In RASKC Foster Home <p/>Hi! My name is lily and I am available for adoption.<p/><p/>I was brought in by my previous owner on 7/28/18 because the other house cat did not like me.<p/><p/>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p/><p/>I am an independent kitty who likes to do my own thing!<p/><p/>I like getting attention on my own terms. I can get overstimulated with petting, so please move carefully with me and keep an eye out for signs that I might need a break.<p/><p/>Because of my shy nature, I would do best in a calm, quiet home.<p/>Adoption Fee: $30.00<p/>",RED
K18-112504,A570068,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Carter,Cat,12 WEEKS,Spayed Female,Domestic Longhair,Black,09/28/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,TUKWILA,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A570068,Image Copyright HLP Inc. 2018,"Received on: 2018-09-28<p/> Description: Black Spayed Female Domestic Longhair Cat<p/> Age: 12 WEEKS<p/> Current Location: In RASKC Foster Home <p/>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p/><p/>1)     Enlarged liver, biopsy showed hepatocellular degeneration.  Bloodwork was normal.  This is most likely an incidental finding.  Rechecking liver values would be beneficial to monitor.<p/><p/>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p/><p/>- Special diet or prescription foods<p/>- Prescription or over-the-counter medicines<p/>- Special skin care or shampoos<p/>- Regular veterinarian visits, which may include blood tests or other monitoring<p/>- Possible surgery or other procedures as determined by your veterinarian<p/><p/>Adoption Fee: $100.00<p/>",GREEN
K18-113864,A575025,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1933300,LOST,Stanley,Cat,,Male,Domestic Shorthair,Unknown,11/16/2018 12:00:00 AM,Date Lost,APT,SUITE BLDG. (OPTI,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1933300,Image Copyright HLP Inc. 2018,,
K18-113786,A574852,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,5 YEARS,Spayed Female,Great Dane,White / Black,11/15/2018 12:00:00 AM,Received on,18200 SE 256TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574852,Image Copyright HLP Inc. 2018,"Received on: 2018-11-15<p/> Found Near: 18200 SE 256TH ST, KENT WA 98042<p/> Description: White / Black Spayed Female Great Dane Dog<p/> Age: 5 YEARS<p/> Current Location: In RASKC Foster Home <p/>",
K18-113874,A575077,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,1 YEAR,Unaltered,Domestic Shorthair,Black,11/20/2018 12:00:00 AM,Received on,1700 SW 107TH ST,SEATTLE,WA,98146,KING COUNTY,,,,Image Copyright HLP Inc. 2018,"Received on: 2018-11-20<p/> Found Near: 1700 SW 107TH ST, SEATTLE WA 98146<p/> Description: Black Unaltered Domestic Shorthair Cat<p/> Age: 1 YEAR<p/>",
K18-113754,A574782,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Hannah,Cat,14 WEEKS,Spayed Female,Domestic Longhair,Brn Tabby,11/14/2018 12:00:00 AM,Received on,20800 116TH AVE SE,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A574782,Image Copyright HLP Inc. 2018,"Received on: 2018-11-14<p/> Found Near: 20800 116TH AVE SE, KENT WA 98031<p/> Description: Brn Tabby Spayed Female Domestic Longhair Cat<p/> Age: 14 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",GREEN
